letter,letterpy,kecheng,letterSplit,zuci
融,róng,第 1 课 古诗三首,鬲 虫,金融 融洽
燕,yàn,第 1 课 古诗三首,廿 北 口 灬,燕雀 春燕
鸳,yuān,第 1 课 古诗三首,夗 鸟,鸳侣 鸳衾
鸯,yāng,第 1 课 古诗三首,央 鸟,鸳鸯 鸯浆
惠,huì,第 1 课 古诗三首,叀 心,优惠 贤惠
崇,chóng,第 1 课 古诗三首,山 宗,崇高 崇敬
芦,lú,第 1 课 古诗三首,草 户,芦花 芦苇
芽,yá,第 1 课 古诗三首,草 牙,芽菜 嫩芽
短,duǎn,第 1 课 古诗三首,矢 豆,短暂 长短
梅,méi,第 1 课 古诗三首,木 每,梅林 话梅
溪,xī,第 1 课 古诗三首,氵 奚,清溪 溪水
泛,fàn,第 1 课 古诗三首,氵 乏,广泛 泛指
减,jiǎn,第 1 课 古诗三首,冰 咸,减轻 减弱
凑,còu,第 2 课 燕子,冰 奏,拼凑 凑巧
拂,fú,第 2 课 燕子,才 弗,拂拭 拂晓
集,jí,第 2 课 燕子,隹 木,收集 集中
聚,jù,第 2 课 燕子,耳 又 乑,聚会 聚餐
形,xíng,第 2 课 燕子,开 彡,形象 形成
掠,lüè,第 2 课 燕子,才 京,侵掠 掠影
偶,ǒu,第 2 课 燕子,亻 禺,偶遇 配偶
尔,ěr,第 2 课 燕子,刀 小,尔后 出尔反尔
沾,zhān,第 2 课 燕子,氵 占,沾光 沾湿
倦,juàn,第 2 课 燕子,亻 卷,诲人不倦 疲倦
闲,xián,第 2 课 燕子,门 木,闲聊 悠闲
纤,xiān,第 2 课 燕子,纟 千,纤细 纤维
痕,hén,第 2 课 燕子,病 艮,痕迹 裂痕
瓣,bàn,第 3 课 荷花,辛 瓜 辛,花瓣 豆瓣
蓬,péng,第 3 课 荷花,草 逢,蓬莱 蓬乱
胀,zhàng,第 3 课 荷花,肉 长,肿胀 胀气
裂,liè,第 3 课 荷花,列 衣,分裂 裂开
姿,zī,第 3 课 荷花,次 女,舞姿 姿态
势,shì,第 3 课 荷花,执 力 勢,势力 气势
仿,fǎng,第 3 课 荷花,亻 方,模仿 仿造
佛,fú,第 3 课 荷花,亻 弗,佛教 佛陀
随,suí,第 3 课 荷花,阝 迶,随时 随便
蹈,dǎo,第 3 课 荷花,足 舀,赴汤蹈火 舞蹈
止,zhǐ,第 3 课 荷花,上 丨,止步 举止
守,shǒu,第 5 课 守株待兔（课文 4 为语文园地，无写字表）,宀 寸,遵守 守时
株,zhū,第 5 课 守株待兔（课文 4 为语文园地，无写字表）,木 朱,一株 植株
待,dài,第 5 课 守株待兔（课文 4 为语文园地，无写字表）,彳 寺,待遇 等待
宋,sòng,第 5 课 守株待兔（课文 4 为语文园地，无写字表）,宀 木,宋代 南宋
耕,gēng,第 5 课 守株待兔（课文 4 为语文园地，无写字表）,耒 井,深耕 耕地
触,chù,第 5 课 守株待兔（课文 4 为语文园地，无写字表）,角 虫,接触 触摸
颈,jǐng,第 5 课 守株待兔（课文 4 为语文园地，无写字表）,圣 页,刎颈之交 长颈鹿
释,shì,第 5 课 守株待兔（课文 4 为语文园地，无写字表）,采 又 二 丨,解释 释放
其,qí,第 5 课 守株待兔（课文 4 为语文园地，无写字表）,甘 一 八,尤其 莫名其妙
骄,jiāo,第 6 课 陶罐和铁罐,马 乔,天骄 骄傲
傲,ào,第 6 课 陶罐和铁罐,人 敖,傲气 骄傲
谦,qiān,第 6 课 陶罐和铁罐,讠 兼,谦恭 谦逊
虚,xū,第 6 课 陶罐和铁罐,虎 业,空虚 虚假
懦,nuò,第 6 课 陶罐和铁罐,忄 需,怯懦 懦夫
弱,ruò,第 6 课 陶罐和铁罐,弓 冰 弓 冰,柔弱 弱小
提,tí,第 6 课 陶罐和铁罐,才 是,提醒 提问
尘,chén,第 6 课 陶罐和铁罐,小 土,尘埃 灰尘
捧,pěng,第 6 课 陶罐和铁罐,才 奉,捧场 捧着
代,dài,第 6 课 陶罐和铁罐,亻 弋,古代 时代
价,jià,第 6 课 陶罐和铁罐,亻 介,价值 代价
鹿,lù,第 7 课 鹿角和鹿腿,广 乛 一 丨 丨 比,梅花鹿 鹿角
塘,táng,第 7 课 鹿角和鹿腿,土 唐,河塘 鱼塘
映,yìng,第 7 课 鹿角和鹿腿,日 央,映照 映衬
欣,xīn,第 7 课 鹿角和鹿腿,斤 欠,欣喜 欣慰
赏,shǎng,第 7 课 鹿角和鹿腿,尚 贝,欣赏 奖赏
匀,yún,第 7 课 鹿角和鹿腿,勹 冰,均匀 分摊
致,zhì,第 7 课 鹿角和鹿腿,至 攵,导致 致敬
配,pèi,第 7 课 鹿角和鹿腿,酉 己,配合 分配
传,chuán,第 7 课 鹿角和鹿腿,亻 专,传播 传说
哎,āi,第 7 课 鹿角和鹿腿,口 艾,哎呦 哎哟
狮,shī,第 7 课 鹿角和鹿腿,犭 师,狮王 狮子
叹,tàn,第 7 课 鹿角和鹿腿,口 又,望洋兴叹 感叹
旧,jiù,第 9 课 古诗三首（课文 8 为略读）,丨 日,陈旧 依旧
符,fú,第 9 课 古诗三首（课文 8 为略读）,竹 付,相符 符合
欲,yù,第 9 课 古诗三首（课文 8 为略读）,谷 欠,欲望 食欲
魂,hún,第 9 课 古诗三首（课文 8 为略读）,云 鬼,魂牵梦绕 魂魄
借,jiè,第 9 课 古诗三首（课文 8 为略读）,亻 昔,借口 凭借
酒,jiǔ,第 9 课 古诗三首（课文 8 为略读）,氵 酉,美酒 灯红酒绿
何,hé,第 9 课 古诗三首（课文 8 为略读）,亻 可,如何 几何
牧,mù,第 9 课 古诗三首（课文 8 为略读）,牜 攵,牧场 十羊九牧
兄,xiōng,第 9 课 古诗三首（课文 8 为略读）,口 儿,兄弟 难兄难弟
独,dú,第 9 课 古诗三首（课文 8 为略读）,犭 虫,独一无二 独特
异,yì,第 9 课 古诗三首（课文 8 为略读）,已 廾,异口同声 异常
佳,jiā,第 9 课 古诗三首（课文 8 为略读）,亻 圭,佳节 最佳
术,shù,第 10 课 纸的发明,木 丶,手术 美术
伟,wěi,第 10 课 纸的发明,亻 韦,伟人 伟大
录,lù,第 10 课 纸的发明,彐 水,记录 录音
册,cè,第 10 课 纸的发明,⺆ ⺆ 一,高文典册 手册
保,bǎo,第 10 课 纸的发明,亻 呆,保护 保持
存,cún,第 10 课 纸的发明,一 亻 子,保存 存在
约,yuē,第 10 课 纸的发明,纟 勺,大约 不约而同
验,yàn,第 10 课 纸的发明,马 佥,灵丹妙药 验证
阿,ā,第 10 课 纸的发明,阝 可,阿弥陀佛 阿婆
欧,ōu,第 10 课 纸的发明,区 欠,欧美 欧阳
洲,zhōu,第 10 课 纸的发明,氵 州,非洲 亚洲
社,shè,第 10 课 纸的发明,礻 土,社保 社区
赵,zhào,第 11 课 赵州桥,走 乂,完璧归赵 赵国
省,shěng,第 11 课 赵州桥,少 目,省心 发人深省
县,xiàn,第 11 课 赵州桥,且 厶,知县 县城
匠,jiàng,第 11 课 赵州桥,匚 斤,独具匠心 工匠
设,shè,第 11 课 赵州桥,讠 殳,想方设法 假设
计,jì,第 11 课 赵州桥,讠 十,计划 估计
史,shǐ,第 11 课 赵州桥,口 乂,史诗 青史留名
创,chuàng,第 11 课 赵州桥,仓 刂,创业 首创
举,jǔ,第 11 课 赵州桥,,举行 推举
且,qiě,第 11 课 赵州桥,,且慢 而且
智,zhì,第 11 课 赵州桥,,智力 足智多谋
慧,huì,第 11 课 赵州桥,,聪慧 秀外慧中
历,lì,第 11 课 赵州桥,,经历 历代
斗,dòu,第 13 课 花钟（课文 12 为略读）,丶 丶 十,斗争 战斗
芬,fēn,第 13 课 花钟（课文 12 为略读）,草 分,芬兰 芬芳
芳,fāng,第 13 课 花钟（课文 12 为略读）,草 方,芳草 芳名
内,nèi,第 13 课 花钟（课文 12 为略读）,冂 人,内部 内容
醒,xǐng,第 13 课 花钟（课文 12 为略读）,酉 星,清醒 提醒
寿,shòu,第 13 课 花钟（课文 12 为略读）,丰 寸,长寿 祝寿
苏,sū,第 13 课 花钟（课文 12 为略读）,草 办,万物复苏 苏醒
强,qiáng,第 13 课 花钟（课文 12 为略读）,弓 虽,自强不息 强大
示,shì,第 13 课 花钟（课文 12 为略读）,二 小,暗示 表示
昆,kūn,第 13 课 花钟（课文 12 为略读）,日 比,昆曲 昆明
修,xiū,第 13 课 花钟（课文 12 为略读）,攸 彡,修建 修改
建,jiàn,第 13 课 花钟（课文 12 为略读）,廴 聿,建功立业 建立
组,zǔ,第 13 课 花钟（课文 12 为略读）,纟 且,组成 分组
蜜,mì,第 14 课 蜜蜂,宓 虫,甜蜜 甜言蜜语
蜂,fēng,第 14 课 蜜蜂,虫 夆,蜂蜜 蜜蜂
辨,biàn,第 14 课 蜜蜂,辛 丶 丿 辛,辨别 明辨是非
阻,zǔ,第 14 课 蜜蜂,阝 且,畅通无阻 阻挡
跨,kuà,第 14 课 蜜蜂,足 夸,跨越 跨国
括,kuò,第 14 课 蜜蜂,才 舌,包括 总而言之
检,jiǎn,第 14 课 蜜蜂,木 佥,检查 体检
查,chá,第 14 课 蜜蜂,木 旦,查找 查询
确,què,第 14 课 蜜蜂,石 角,确认 确定
误,wù,第 14 课 蜜蜂,讠 吴,误会 错误
途,tú,第 14 课 蜜蜂,辶 余,长途 用途
陌,mò,第 14 课 蜜蜂,阝 百,陌生 形同陌路
淌,tǎng,第 16 课 宇宙的另一边（课文 15 为略读）,氵 尚,流淌 淌水
秘,mì,第 16 课 宇宙的另一边（课文 15 为略读）,禾 必,秘密 秘方
密,mì,第 16 课 宇宙的另一边（课文 15 为略读）,宓 山,密切 密度
栋,dòng,第 16 课 宇宙的另一边（课文 15 为略读）,木 东,栋梁 雕梁画栋
梯,tī,第 16 课 宇宙的另一边（课文 15 为略读）,木 弟,登高去梯 楼梯
铃,líng,第 16 课 宇宙的另一边（课文 15 为略读）,钅 令,掩耳盗铃 铃声
乘,chéng,第 16 课 宇宙的另一边（课文 15 为略读）,禾 北,乘法 乘风破浪
绪,xù,第 16 课 宇宙的另一边（课文 15 为略读）,纟 者,头绪 千头万绪
篇,piān,第 16 课 宇宙的另一边（课文 15 为略读）,竹 扁,诗篇 千篇一律
越,yuè,第 16 课 宇宙的另一边（课文 15 为略读）,走 戉,越过 越来越好
状,zhuàng,第 17 课 我变成了一棵树,丬 犬,状态 惊恐万状
狐,hú,第 17 课 我变成了一棵树,犭 瓜,狐假虎威 狐疑
狸,lí,第 17 课 我变成了一棵树,犭 里,狸猫 狐狸
丁,dīng,第 17 课 我变成了一棵树,一 亅,肉丁 园丁
零,líng,第 17 课 我变成了一棵树,雨 令,七零八落 零钱
巧,qiǎo,第 17 课 我变成了一棵树,工 万,心灵手巧 巧合
克,kè,第 17 课 我变成了一棵树,十 口 儿,克服 攻无不克
肠,cháng,第 17 课 我变成了一棵树,肉 弓 丿 丿,牵肠挂肚 肠胃
继,jì,第 17 课 我变成了一棵树,纟 𠃊 米,相继 继续
续,xù,第 17 课 我变成了一棵树,纟 卖,断断续续 连续
抬,tái,第 17 课 我变成了一棵树,才 台,高抬贵手 抬举
麻,má,第 17 课 我变成了一棵树,广 林,麻烦 芝麻
烦,fán,第 17 课 我变成了一棵树,火 页,烦闷 心烦意乱
墨,mò,第 18 课 童年的水墨画,黑 土,胸无点墨 墨汁
染,rǎn,第 18 课 童年的水墨画,氿 木,染料 一尘不染
竿,gān,第 18 课 童年的水墨画,竹 干,竹竿 鱼竿
腾,téng,第 18 课 童年的水墨画,肉 𠔉 马,腾飞 折腾
碎,suì,第 18 课 童年的水墨画,石 卒,粉碎 破碎
拨,bō,第 18 课 童年的水墨画,才 发,拨动 拨款
浪,làng,第 18 课 童年的水墨画,氵 良,乘风破浪 浪费
葫,hú,第 18 课 童年的水墨画,草 胡,糖葫芦 葫芦
爽,shuǎng,第 18 课 童年的水墨画,大 爻 爻,凉爽 清爽
蘑,mó,第 18 课 童年的水墨画,草 磨,鲜蘑 蘑菇
菇,gū,第 18 课 童年的水墨画,草 姑,香菇 蘑菇
表,biǎo,第 19 课 剃头大师,丰 ,表面 手表
胆,dǎn,第 19 课 剃头大师,肉 旦,胆子 胆囊
鬼,guǐ,第 19 课 剃头大师,丶 田 儿 厶,捣鬼 牛鬼蛇神
理,lǐ,第 19 课 剃头大师,王 里,通情达理 理解
夺,duó,第 19 课 剃头大师,大 寸,夺取 光彩夺目
骂,mà,第 19 课 剃头大师,口 口 马,叫骂 辱骂
仇,chóu,第 19 课 剃头大师,亻 九,仇人 仇恨
差,chà,第 19 课 剃头大师,羊 丿 工,差错 差别
付,fù,第 19 课 剃头大师,亻 寸,支付 全力以赴
倍,bèi,第 19 课 剃头大师,亻 立 口,几倍 倍数
虽,suī,第 19 课 剃头大师,口 虫,虽说 虽则
泡,pào,第 19 课 剃头大师,氵 包,化为泡影 泡沫
件,jiàn,第 19 课 剃头大师,亻 牛,事件 一件
皂,zào,第 20 课 肥皂泡,白 七,香皂 不分青红皂白
廊,láng,第 20 课 肥皂泡,广 郎,走廊 画廊
剩,shèng,第 20 课 肥皂泡,乘 刂,所剩无几 剩下
碗,wǎn,第 20 课 肥皂泡,石 宛,砸锅卖铁 茶碗
悠,yōu,第 20 课 肥皂泡,攸 心,悠闲 悠然
若,ruò,第 20 课 肥皂泡,草 右,倘若 若是
透,tòu,第 20 课 肥皂泡,辶 秀,水滴石穿 透彻
娇,jiāo,第 20 课 肥皂泡,女 乔,娇气 娇艳
扯,chě,第 20 课 肥皂泡,才 止,拉扯 胡扯
仰,yǎng,第 20 课 肥皂泡,亻 卬,仰卧 人仰马翻
串,chuàn,第 20 课 肥皂泡,口 口 丨,串通 客串
婴,yīng,第 20 课 肥皂泡,贝 贝 女,幼儿 婴孩
希,xī,第 20 课 肥皂泡,乂 布,希冀 希图
呈,chéng,第 22 课 我们奇妙的世界（课文 21 为略读）,口 王,呈报 辞呈
幻,huàn,第 22 课 我们奇妙的世界（课文 21 为略读）,幺 ㇆,梦幻 幻想
诱,yòu,第 22 课 我们奇妙的世界（课文 21 为略读）,讠 秀,诱导 引诱
润,rùn,第 22 课 我们奇妙的世界（课文 21 为略读）,氵 闰,湿润 滋润
芒,máng,第 22 课 我们奇妙的世界（课文 21 为略读）,草 亡,锋芒 芒果
冰,bīng,第 22 课 我们奇妙的世界（课文 21 为略读）,冰 水,结冰 冰天雪地
剑,jiàn,第 22 课 我们奇妙的世界（课文 21 为略读）,佥 刂,宝剑 刻舟求剑
普,pǔ,第 22 课 我们奇妙的世界（课文 21 为略读）,丷 晋,普天同庆 普通
通,tōng,第 22 课 我们奇妙的世界（课文 21 为略读）,辶 甬,交通 通过
模,mó,第 22 课 我们奇妙的世界（课文 21 为略读）,木 莫,模范 模糊
型,xíng,第 22 课 我们奇妙的世界（课文 21 为略读）,刑 土,典型 小巧玲珑
宁,níng,第 23 课 海底世界,宀 丁,鸡犬不宁 宁愿
官,guān,第 23 课 海底世界,宀 㠯,器官 法官
汪,wāng,第 23 课 海底世界,氵 王,水汪汪 汪洋
险,xiǎn,第 23 课 海底世界,阝 佥,保险 危险
参,shēn,第 23 课 海底世界,厶 大 彡,参与 参天大树
攻,gōng,第 23 课 海底世界,工 攵,攻无不克 进攻
推,tuī,第 23 课 海底世界,才 隹,推测 推陈出新
迅,xùn,第 23 课 海底世界,辶 卂,迅速 迅雷不及掩耳
速,sù,第 23 课 海底世界,辶 束,不速之客 速度
退,tuì,第 23 课 海底世界,辶 艮,撤退 后退
煤,méi,第 23 课 海底世界,火 某,煤炭 煤气
铁,tiě,第 23 课 海底世界,钅 失,铁塔 钢铁
必,bì,第 24 课 火烧云,心 丿,必不可少 必定
胡,hú,第 24 课 火烧云,古 肉,胡同 胡说八道
灿,càn,第 24 课 火烧云,火 山,灿烂 金灿灿
骑,qí,第 24 课 火烧云,马 奇,骑兵 骑虎难下
秒,miǎo,第 24 课 火烧云,禾 少,分秒 争分夺秒
凶,xiōng,第 24 课 火烧云,凵 乂,凶猛 凶手
猛,měng,第 24 课 火烧云,犭 孟,勇猛 猛然
接,jiē,第 24 课 火烧云,才 妾,连接 接受
庙,miào,第 24 课 火烧云,广 由 廟,庙会 孔庙
威,wēi,第 24 课 火烧云,戊 一 女,威胁 威风凛凛
武,wǔ,第 24 课 火烧云,一 弋 止,武器 武术
镇,zhèn,第 24 课 火烧云,钅 真,镇静自若 镇定
性,xìng,第 25 课 慢性子裁缝和急性子顾客,忄 生,性别 性情中人
卷,juǎn,第 25 课 慢性子裁缝和急性子顾客,𠔉 㔾,开卷有益 试卷
货,huò,第 25 课 慢性子裁缝和急性子顾客,化 贝,货物 货真价实
取,qǔ,第 25 课 慢性子裁缝和急性子顾客,耳 又,取得 取长补短
夹,jiā,第 25 课 慢性子裁缝和急性子顾客,一 丷 大,两面夹击 夹子
夸,kuā,第 25 课 慢性子裁缝和急性子顾客,大 亏,夸大 夸奖
务,wù,第 25 课 慢性子裁缝和急性子顾客,夕 力,任务 当务之急
衬,chèn,第 25 课 慢性子裁缝和急性子顾客,衤 寸,相得益彰 衬衫
衫,shān,第 25 课 慢性子裁缝和急性子顾客,衤 彡,衣衫褴褛 衣衫
负,fù,第 25 课 慢性子裁缝和急性子顾客,刀 贝,辜负 负担
责,zé,第 25 课 慢性子裁缝和急性子顾客,丰 贝,责备 责无旁贷
艺,yì,第 25 课 慢性子裁缝和急性子顾客,草 乙,艺术 多才多艺
漏,lòu,第 27 课 漏（课文 26 为略读）,氵 屚,漏水 漏网之鱼
喂,wèi,第 27 课 漏（课文 26 为略读）,口 畏,投喂 喂饱
胖,pàng,第 27 课 漏（课文 26 为略读）,肉 半,胖子 心宽体胖
驴,lǘ,第 27 课 漏（课文 26 为略读）,马 户,驴子 毛驴
贼,zéi,第 27 课 漏（课文 26 为略读）,贝 戎,乌贼 盗贼
狼,láng,第 27 课 漏（课文 26 为略读）,犭 良,引狼入室 灰狼
莫,mò,第 27 课 漏（课文 26 为略读）,草 日 大,莫须有 莫名
厉,lì,第 27 课 漏（课文 26 为略读）,厂 万,厉声 雷厉风行
抱,bào,第 27 课 漏（课文 26 为略读）,扌 包,抱头鼠窜 怀抱
架,jià,第 27 课 漏（课文 26 为略读）,加 木,书架 招架不住
粘,zhān,第 27 课 漏（课文 26 为略读）,米 占,粘土 粘连
胶,jiāo,第 27 课 漏（课文 26 为略读）,肉 交,如胶似漆 胶水
偏,piān,第 27 课 漏（课文 26 为略读）,亻 扁,偏爱 偏见
